//**********************************************
// Created using 13535  2576
// Date: 2007_12_12
// Time: 22:31
// Climbing the Citadel Level Data File
//**********************************************
sky,-200,0,2.0.5,0,25
snow_boulder,4423,1856,1,0,21
snow_boulder,3592,1932,1,0,21
snow_boulder,11645,2121,1,0,21
snow_boulder,12401,1136,1,0,21
snow_boulder,13648,1174,1,0,21
snow_boulder,13535,2008,1,0,21
snow_boulder,14367,909,1,0,21
snow_boulder,17051,758,1,0,21
snow_boulder,15803,871,1,0,21
snow_boulder,2117,2917,1,0,21
snow_boulder,3100,1705,1,0,21
snow_boulder,2760,2538,1,0,21
sm_sled_l,2004,1856,1,0,85
sm_sled_l,2609,1856,1,0,85
sm_sled_l,4499,1856,1,0,85
sm_sled_l,6692,1439,1,0,85
sm_sled_l,7788,1326,1,0,85
sm_sled_l,8733,1250,1,0,85
sm_sled_l,10246,1591,1,0,85
sm_sled_l,11267,1250,1,0,85
sm_sled_l,12930,1439,1,0,85
sm_sled_l,14783,1061,1,0,85
sm_sled_l,16408,947,1,0,85
sm_sled_l,17656,871,1,0,85
sm_sled_l,18563,833,1,0,85
sm_sled_l,12665,2197,1,0,85
sm_sled_l,10888,2424,1,0,85

pinetree2, 416, 4308, 1, 0, 12
pinetree2, 870, 3864, 1, 0, 12
pinetree2, 1512, 3435, 1, 0, 12
pinetree2, 2609, 3409, 1, 0, 12
pinetree2, 3062, 3220, 1, 0, 12
pinetree2, 3667, 3561, 1, 0, 12
pinetree2, 4461, 3427, 1, 0, 12
pinetree2, 5028, 2872, 1, 0, 12
pinetree2, 6125, 2480, 1, 0, 12
pinetree2, 9301, 2404, 1, 0, 12
pinetree2, 10397, 2921, 1, 0, 12
pinetree2, 14216, 2083, 1, 0, 12
pinetree2, 16408, 1705, 1, 0, 12
pinetree2, 12136, 3407, 1, 0, 12
pinetree2, 13233, 2669, 1, 0, 12
pinetree2, 17505, 1364, 1, 0, 12
pinetree2, 19471, 1258, 1, 0, 12
pinetree1, 1815, 3473, 1, 0, 11
pinetree1, 2231, 3447, 1, 0, 11
pinetree1, 7108, 2492, 1, 0, 11
pinetree1, 7524, 2462, 1, 0, 11
pinetree1, 8733, 2576, 1, 0, 11
pinetree1, 13535, 2566, 1, 0, 11
0, 0, 4600, 1, 0, 52
1, 128, 4728, 1, 0, 56
2, 256, 4712, 1, 0, 45
3, 384, 4584, 1, 0, 45
4, 512, 4456, 1, 0, 45
5, 640, 4328, 1, 0, 45
6, 768, 4200, 1, 0, 45
7, 896, 4072, 1, 0, 45
8, 1024, 3944, 1, 0, 48
9, 1152, 3864, 1, 0, 48
10, 1280, 3784, 1, 0, 48
11, 1408, 3704, 1, 0, 48
12, 1536, 3624, 1, 0, 48
13, 1664, 3544, 1, 0, 57
14, 1792, 3560, 1, 0, 57
15, 1920, 3576, 1, 0, 57
16, 2048, 3592, 1, 0, 54
17, 2176, 3544, 1, 0, 57
18, 2304, 3560, 1, 0, 57
19, 2432, 3576, 1, 0, 57
20, 2560, 3592, 1, 0, 57
21, 2688, 3608, 1, 0, 57
22, 2816, 3624, 1, 0, 48
23, 2944, 3544, 1, 0, 48
24, 3072, 3464, 1, 0, 48
25, 3200, 3384, 1, 0, 51
26, 3328, 3496, 1, 0, 51
27, 3456, 3608, 1, 0, 51
28, 3584, 3720, 1, 0, 51
29, 3712, 3832, 1, 0, 51
30, 3840, 3944, 1, 0, 59
31, 3968, 3992, 1, 0, 48
32, 4096, 3912, 1, 0, 48
33, 4224, 3832, 1, 0, 48
34, 4352, 3752, 1, 0, 45
35, 4480, 3624, 1, 0, 45
36, 4608, 3496, 1, 0, 45
37, 4736, 3368, 1, 0, 46
38, 4864, 3256, 1, 0, 46
39, 4992, 3144, 1, 0, 46
40, 5120, 3032, 1, 0, 47
41, 5248, 2936, 1, 0, 48
42, 5376, 2856, 1, 0, 56
43, 5504, 2840, 1, 0, 56
44, 5632, 2824, 1, 0, 56
45, 5760, 2808, 1, 0, 54
46, 5888, 2760, 1, 0, 54
47, 6016, 2712, 1, 0, 54
48, 6144, 2664, 1, 0, 54
49, 6272, 2616, 1, 0, 54
50, 6400, 2568, 1, 0, 54
51, 6528, 2520, 1, 0, 56
52, 6656, 2504, 1, 0, 57
53, 6784, 2520, 1, 0, 57
54, 6912, 2536, 1, 0, 60
55, 7040, 2600, 1, 0, 56
56, 7168, 2584, 1, 0, 56
57, 7296, 2568, 1, 0, 56
58, 7424, 2552, 1, 0, 57
59, 7552, 2568, 1, 0, 56
60, 7680, 2552, 1, 0, 56
61, 7808, 2536, 1, 0, 56
62, 7936, 2520, 1, 0, 56
63, 8064, 2504, 1, 0, 56
64, 8192, 2488, 1, 0, 60
65, 8320, 2552, 1, 0, 60
66, 8448, 2616, 1, 0, 60
67, 8576, 2680, 1, 0, 56
68, 8704, 2664, 1, 0, 56
69, 8832, 2648, 1, 0, 56
70, 8960, 2632, 1, 0, 56
71, 9088, 2616, 1, 0, 56
72, 9216, 2600, 1, 0, 56
73, 9344, 2584, 1, 0, 56
74, 9472, 2568, 1, 0, 56
75, 9600, 2552, 1, 0, 49
76, 9728, 2632, 1, 0, 49
77, 9856, 2712, 1, 0, 49
78, 9984, 2792, 1, 0, 50
79, 10112, 2888, 1, 0, 50
80, 10240, 2984, 1, 0, 50
81, 10368, 3080, 1, 0, 50
82, 10496, 3176, 1, 0, 50
83, 10624, 3272, 1, 0, 50
84, 10752, 3368, 1, 0, 50
85, 10880, 3464, 1, 0, 50
86, 11008, 3560, 1, 0, 52
87, 11136, 3688, 1, 0, 52
88, 11264, 3816, 1, 0, 52
89, 11392, 3944, 1, 0, 52
90, 11520, 4072, 1, 0, 54
91, 11648, 4024, 1, 0, 54
92, 11776, 3976, 1, 0, 45
93, 11904, 3848, 1, 0, 45
94, 12032, 3720, 1, 0, 45
95, 12160, 3592, 1, 0, 54
96, 12288, 3544, 1, 0, 54
97, 12416, 3496, 1, 0, 54
98, 12544, 3448, 1, 0, 54
99, 12672, 3400, 1, 0, 54
100, 12800, 3352, 1, 0, 45
101, 12928, 3224, 1, 0, 45
102, 13056, 3096, 1, 0, 45
103, 13184, 2968, 1, 0, 45
104, 13312, 2840, 1, 0, 54
105, 13440, 2792, 1, 0, 45
106, 13568, 2664, 1, 0, 54
107, 13696, 2616, 1, 0, 54
108, 13824, 2568, 1, 0, 54
109, 13952, 2520, 1, 0, 45
110, 14080, 2392, 1, 0, 45
111, 14208, 2264, 1, 0, 56
112, 14336, 2248, 1, 0, 56
113, 14464, 2232, 1, 0, 45
114, 14592, 2104, 1, 0, 56
115, 14720, 2088, 1, 0, 45
116, 14848, 1960, 1, 0, 45
117, 14976, 1832, 1, 0, 56
118, 15104, 1816, 1, 0, 56
119, 15232, 1800, 1, 0, 49
120, 15360, 1880, 1, 0, 49
121, 15488, 1960, 1, 0, 49
122, 15616, 2040, 1, 0, 49
123, 15744, 2120, 1, 0, 56
124, 15872, 2104, 1, 0, 56
125, 16000, 2088, 1, 0, 56
126, 16128, 2072, 1, 0, 45
127, 16256, 1944, 1, 0, 56
128, 16384, 1928, 1, 0, 56
129, 16512, 1912, 1, 0, 45
130, 16640, 1784, 1, 0, 45
131, 16768, 1656, 1, 0, 56
132, 16896, 1640, 1, 0, 56
133, 17024, 1624, 1, 0, 56
134, 17152, 1608, 1, 0, 56
135, 17280, 1592, 1, 0, 56
136, 17408, 1576, 1, 0, 56
137, 17536, 1560, 1, 0, 56
138, 17664, 1544, 1, 0, 56
139, 17792, 1528, 1, 0, 56
140, 17920, 1512, 1, 0, 56
141, 18048, 1496, 1, 0, 56
142, 18176, 1480, 1, 0, 49
143, 18304, 1560, 1, 0, 49
144, 18432, 1640, 1, 0, 49
145, 18560, 1720, 1, 0, 58
146, 18688, 1752, 1, 0, 58
147, 18816, 1784, 1, 0, 45
148, 18944, 1656, 1, 0, 56
149, 19072, 1640, 1, 0, 57
150, 19200, 1656, 1, 0, 56
151, 19328, 1640, 1, 0, 45
152, 19456, 1512, 1, 0, 45
153, 19584, 1384, 1, 0, 56
154, 19712, 1368, 1, 0, 45
155, 19840, 1240, 1, 0, 53
156, 19968, 1176, 1, 0, 56
157, 20096, 1160, 1, 0, 56
158, 20224, 1144, 1, 0, 56
159, 20352, 1128, 1, 0, 56
0, 0, 4816, 1, 0, 33
1, 128, 4944, 1, 0, 37
2, 256, 4928, 1, 0, 37
3, 384, 4912, 1, 0, 37
4, 512, 4896, 1, 0, 29
5, 640, 4816, 1, 0, 29
6, 768, 4736, 1, 0, 36
7, 896, 4704, 1, 0, 36
8, 1024, 4672, 1, 0, 36
9, 1152, 4640, 1, 0, 30
10, 1280, 4720, 1, 0, 37
11, 1408, 4704, 1, 0, 37
12, 1536, 4688, 1, 0, 37
13, 1664, 4672, 1, 0, 29
14, 1792, 4592, 1, 0, 29
15, 1920, 4512, 1, 0, 37
16, 2048, 4496, 1, 0, 35
17, 2176, 4448, 1, 0, 37
18, 2304, 4432, 1, 0, 35
19, 2432, 4384, 1, 0, 35
20, 2560, 4336, 1, 0, 27
21, 2688, 4224, 1, 0, 27
22, 2816, 4112, 1, 0, 26
23, 2944, 3984, 1, 0, 26
24, 3072, 3856, 1, 0, 26
25, 3200, 3728, 1, 0, 26
26, 3328, 3600, 1, 0, 26
27, 3456, 3472, 1, 0, 26
28, 3584, 3344, 1, 0, 29
29, 3712, 3264, 1, 0, 29
30, 3840, 3184, 1, 0, 26
31, 3968, 3056, 1, 0, 29
32, 4096, 2976, 1, 0, 36
33, 4224, 2944, 1, 0, 36
34, 4352, 2912, 1, 0, 36
35, 4480, 2880, 1, 0, 36
36, 4608, 2848, 1, 0, 30
37, 4736, 2928, 1, 0, 33
38, 4864, 3056, 1, 0, 31
39, 4992, 3152, 1, 0, 31
40, 5120, 3248, 1, 0, 36
41, 5248, 3216, 1, 0, 37
42, 5376, 3200, 1, 0, 38
43, 5504, 3216, 1, 0, 38
44, 5632, 3232, 1, 0, 38
45, 5760, 3248, 1, 0, 38
46, 5888, 3264, 1, 0, 38
47, 6016, 3280, 1, 0, 38
48, 6144, 3296, 1, 0, 41
49, 6272, 3360, 1, 0, 41
50, 6400, 3424, 1, 0, 41
51, 6528, 3488, 1, 0, 32
52, 6656, 3600, 1, 0, 32
53, 6784, 3712, 1, 0, 32
54, 6912, 3824, 1, 0, 32
55, 7040, 3936, 1, 0, 33
56, 7168, 4064, 1, 0, 37
57, 7296, 4048, 1, 0, 26
58, 7424, 3920, 1, 0, 26
59, 7552, 3792, 1, 0, 28
60, 7680, 3696, 1, 0, 29
61, 7808, 3616, 1, 0, 37
62, 7936, 3600, 1, 0, 37
63, 8064, 3584, 1, 0, 37
64, 8192, 3568, 1, 0, 35
65, 8320, 3520, 1, 0, 35
66, 8448, 3472, 1, 0, 37
67, 8576, 3456, 1, 0, 30
68, 8704, 3536, 1, 0, 30
69, 8832, 3616, 1, 0, 30
70, 8960, 3696, 1, 0, 30
71, 9088, 3776, 1, 0, 37
72, 9216, 3760, 1, 0, 37
73, 9344, 3744, 1, 0, 37
74, 9472, 3728, 1, 0, 37
75, 9600, 3712, 1, 0, 31
76, 9728, 3808, 1, 0, 31
77, 9856, 3904, 1, 0, 31
78, 9984, 4000, 1, 0, 31
79, 10112, 4096, 1, 0, 31
80, 10240, 4192, 1, 0, 34
81, 10368, 4128, 1, 0, 34
82, 10496, 4064, 1, 0, 30
83, 10624, 4144, 1, 0, 26
84, 10752, 4016, 1, 0, 26
85, 10880, 3888, 1, 0, 26
86, 11008, 3760, 1, 0, 34
87, 11136, 3696, 1, 0, 34
88, 11264, 3632, 1, 0, 34
89, 11392, 3568, 1, 0, 34
90, 11520, 3504, 1, 0, 34
91, 11648, 3440, 1, 0, 35
92, 11776, 3392, 1, 0, 35
93, 11904, 3344, 1, 0, 35
94, 12032, 3296, 1, 0, 35
95, 12160, 3248, 1, 0, 35
96, 12288, 3200, 1, 0, 36
97, 12416, 3168, 1, 0, 36
98, 12544, 3136, 1, 0, 36
99, 12672, 3104, 1, 0, 36
100, 12800, 3072, 1, 0, 38
101, 12928, 3088, 1, 0, 38
102, 13056, 3104, 1, 0, 38
103, 13184, 3120, 1, 0, 38
104, 13312, 3136, 1, 0, 30
105, 13440, 3216, 1, 0, 30
106, 13568, 3296, 1, 0, 30
107, 13696, 3376, 1, 0, 30
108, 13824, 3456, 1, 0, 30
109, 13952, 3536, 1, 0, 37
110, 14080, 3520, 1, 0, 37
111, 14208, 3504, 1, 0, 29
112, 14336, 3424, 1, 0, 37
113, 14464, 3408, 1, 0, 37
114, 14592, 3392, 1, 0, 29
115, 14720, 3312, 1, 0, 29
116, 14848, 3232, 1, 0, 28
117, 14976, 3136, 1, 0, 28
118, 15104, 3040, 1, 0, 36
119, 15232, 3008, 1, 0, 36
120, 15360, 2976, 1, 0, 36
121, 15488, 2944, 1, 0, 36
122, 15616, 2912, 1, 0, 30
123, 15744, 2992, 1, 0, 30
124, 15872, 3072, 1, 0, 30
125, 16000, 3152, 1, 0, 31
126, 16128, 3248, 1, 0, 33
127, 16256, 3376, 1, 0, 33
128, 16384, 3504, 1, 0, 32
129, 16512, 3616, 1, 0, 32
130, 16640, 3728, 1, 0, 37
131, 16768, 3712, 1, 0, 37
132, 16896, 3696, 1, 0, 37
133, 17024, 3680, 1, 0, 37
134, 17152, 3664, 1, 0, 28
135, 17280, 3568, 1, 0, 28
136, 17408, 3472, 1, 0, 28
137, 17536, 3376, 1, 0, 37
138, 17664, 3360, 1, 0, 37
139, 17792, 3344, 1, 0, 34
140, 17920, 3280, 1, 0, 34
141, 18048, 3216, 1, 0, 34
142, 18176, 3152, 1, 0, 35
143, 18304, 3104, 1, 0, 35
144, 18432, 3056, 1, 0, 37
145, 18560, 3040, 1, 0, 29
146, 18688, 2960, 1, 0, 35
147, 18816, 2912, 1, 0, 35
148, 18944, 2864, 1, 0, 39
149, 19072, 2896, 1, 0, 39
150, 19200, 2928, 1, 0, 38
151, 19328, 2944, 1, 0, 38
152, 19456, 2960, 1, 0, 41
153, 19584, 3024, 1, 0, 34
154, 19712, 2960, 1, 0, 34
155, 19840, 2896, 1, 0, 38
156, 19968, 2912, 1, 0, 38
157, 20096, 2928, 1, 0, 30
158, 20224, 3008, 1, 0, 30
159, 20352, 3088, 1, 0, 40
0, 0, 5048, 1, 0, 69
1, 128, 5176, 1, 0, 73
2, 256, 5160, 1, 0, 73
3, 384, 5144, 1, 0, 73
4, 512, 5128, 1, 0, 73
5, 640, 5112, 1, 0, 73
6, 768, 5096, 1, 0, 73
7, 896, 5080, 1, 0, 73
8, 1024, 5064, 1, 0, 73
9, 1152, 5048, 1, 0, 73
10, 1280, 5032, 1, 0, 71
11, 1408, 4984, 1, 0, 71
12, 1536, 4936, 1, 0, 71
13, 1664, 4888, 1, 0, 71
14, 1792, 4840, 1, 0, 71
15, 1920, 4792, 1, 0, 71
16, 2048, 4744, 1, 0, 71
17, 2176, 4696, 1, 0, 71
18, 2304, 4648, 1, 0, 71
19, 2432, 4600, 1, 0, 71
20, 2560, 4552, 1, 0, 65
21, 2688, 4472, 1, 0, 65
22, 2816, 4392, 1, 0, 65
23, 2944, 4312, 1, 0, 65
24, 3072, 4232, 1, 0, 65
25, 3200, 4152, 1, 0, 65
26, 3328, 4072, 1, 0, 65
27, 3456, 3992, 1, 0, 65
28, 3584, 3912, 1, 0, 65
29, 3712, 3832, 1, 0, 65
30, 3840, 3752, 1, 0, 73
31, 3968, 3736, 1, 0, 73
32, 4096, 3720, 1, 0, 73
33, 4224, 3704, 1, 0, 73
34, 4352, 3688, 1, 0, 73
35, 4480, 3672, 1, 0, 73
36, 4608, 3656, 1, 0, 73
37, 4736, 3640, 1, 0, 67
38, 4864, 3736, 1, 0, 67
39, 4992, 3832, 1, 0, 67
40, 5120, 3928, 1, 0, 66
41, 5248, 4008, 1, 0, 66
42, 5376, 4088, 1, 0, 66
43, 5504, 4168, 1, 0, 66
44, 5632, 4248, 1, 0, 66
45, 5760, 4328, 1, 0, 73
46, 5888, 4312, 1, 0, 73
47, 6016, 4296, 1, 0, 73
48, 6144, 4280, 1, 0, 73
49, 6272, 4264, 1, 0, 73
50, 6400, 4248, 1, 0, 67
51, 6528, 4344, 1, 0, 73
52, 6656, 4328, 1, 0, 67
53, 6784, 4424, 1, 0, 73
54, 6912, 4408, 1, 0, 73
55, 7040, 4392, 1, 0, 73
56, 7168, 4376, 1, 0, 73
57, 7296, 4360, 1, 0, 67
58, 7424, 4456, 1, 0, 67
59, 7552, 4552, 1, 0, 67
60, 7680, 4648, 1, 0, 73
61, 7808, 4632, 1, 0, 73
62, 7936, 4616, 1, 0, 73
63, 8064, 4600, 1, 0, 70
64, 8192, 4536, 1, 0, 73
65, 8320, 4520, 1, 0, 70
66, 8448, 4456, 1, 0, 70
67, 8576, 4392, 1, 0, 73
68, 8704, 4376, 1, 0, 73
69, 8832, 4360, 1, 0, 73
70, 8960, 4344, 1, 0, 73
71, 9088, 4328, 1, 0, 73
72, 9216, 4312, 1, 0, 73
73, 9344, 4296, 1, 0, 73
74, 9472, 4280, 1, 0, 73
75, 9600, 4264, 1, 0, 67
76, 9728, 4360, 1, 0, 67
77, 9856, 4456, 1, 0, 67
78, 9984, 4552, 1, 0, 65
79, 10112, 4472, 1, 0, 65
80, 10240, 4392, 1, 0, 65
81, 10368, 4312, 1, 0, 67
82, 10496, 4408, 1, 0, 66
83, 10624, 4488, 1, 0, 65
84, 10752, 4408, 1, 0, 65
85, 10880, 4328, 1, 0, 67
86, 11008, 4424, 1, 0, 67
87, 11136, 4520, 1, 0, 67
88, 11264, 4616, 1, 0, 66
89, 11392, 4696, 1, 0, 66
90, 11520, 4776, 1, 0, 71
91, 11648, 4728, 1, 0, 71
92, 11776, 4680, 1, 0, 71
93, 11904, 4632, 1, 0, 71
94, 12032, 4584, 1, 0, 65
95, 12160, 4504, 1, 0, 65
96, 12288, 4424, 1, 0, 64
97, 12416, 4328, 1, 0, 64
98, 12544, 4232, 1, 0, 62
99, 12672, 4104, 1, 0, 62
100, 12800, 3976, 1, 0, 71
101, 12928, 3928, 1, 0, 71
102, 13056, 3880, 1, 0, 71
103, 13184, 3832, 1, 0, 65
104, 13312, 3752, 1, 0, 65
105, 13440, 3672, 1, 0, 63
106, 13568, 3560, 1, 0, 63
107, 13696, 3448, 1, 0, 63
108, 13824, 3336, 1, 0, 63
109, 13952, 3224, 1, 0, 71
110, 14080, 3176, 1, 0, 71
111, 14208, 3128, 1, 0, 73
112, 14336, 3112, 1, 0, 73
113, 14464, 3096, 1, 0, 63
114, 14592, 2984, 1, 0, 63
115, 14720, 2872, 1, 0, 62
116, 14848, 2744, 1, 0, 73
117, 14976, 2728, 1, 0, 73
118, 15104, 2712, 1, 0, 73
119, 15232, 2696, 1, 0, 73
120, 15360, 2680, 1, 0, 73
121, 15488, 2664, 1, 0, 65
122, 15616, 2584, 1, 0, 62
123, 15744, 2456, 1, 0, 73
124, 15872, 2440, 1, 0, 72
125, 16000, 2408, 1, 0, 73
126, 16128, 2392, 1, 0, 73
127, 16256, 2376, 1, 0, 74
128, 16384, 2392, 1, 0, 74
129, 16512, 2408, 1, 0, 76
130, 16640, 2456, 1, 0, 76
131, 16768, 2504, 1, 0, 62
132, 16896, 2376, 1, 0, 73
133, 17024, 2360, 1, 0, 73
134, 17152, 2344, 1, 0, 73
135, 17280, 2328, 1, 0, 62
136, 17408, 2200, 1, 0, 62
137, 17536, 2072, 1, 0, 62
138, 17664, 1944, 1, 0, 62
139, 17792, 1816, 1, 0, 62
140, 17920, 1688, 1, 0, 73
141, 18048, 1672, 1, 0, 73
142, 18176, 1656, 1, 0, 73
143, 18304, 1640, 1, 0, 73
144, 18432, 1624, 1, 0, 73
145, 18560, 1608, 1, 0, 62
146, 18688, 1480, 1, 0, 62
147, 18816, 1352, 1, 0, 62
148, 18944, 1224, 1, 0, 62
149, 19072, 1096, 1, 0, 62
150, 19200, 968, 1, 0, 73
151, 19328, 952, 1, 0, 62
152, 19456, 824, 1, 0, 62
153, 19584, 696, 1, 0, 62
154, 19712, 568, 1, 0, 73
155, 19840, 552, 1, 0, 73
156, 19968, 536, 1, 0, 73
157, 20096, 520, 1, 0, 73
158, 20224, 504, 1, 0, 73
159, 20352, 488, 1, 0, 73

